song_id,line
43,"Ем мясо на завтрак и ужин, ты хаваешь гравий"
43,"Я хотел бы гонять на супре, но мне светит иной расклад"
43,"Вызвал тачку, убер — умер. Сел на задний — принцип"
43,"Я уже не дышу, боже, я просто хотел уснуть"
43,"Шум в голове заполнит грудь, "
43,Меня несёт и каков мой путь
43,Шум в голове заполнит грудь 
43,"Брат в небесах мне не даёт спать, мотивируя двигаться дальше"
43,"Индустрия диктует мотив, но я знаю, что сделаю краше"
43,"В голове голоса, закатаю глаза, игнорирую нахер"
43,"Включаю беса, зубы на месте, в пасти железо"
43,"Рэп, что на грани абсурда, репрессий"
43,Словно бегущий по лезвию и для общества на грани бездаря
43,"Куви так красноречиво поёт об одном, а читает на трезвый ум"
43,"Мне снилось, как падал, когда уговаривал друга не слушать рассудок"
43,"Разве стоит того поступок? Врач не поможет, зато бог рассудит"
43,"Я скорее уверую в чудо, чем стал бы приписывать чьи-то заслуги"
43,"И реально ли то, что мой кореш просил меня помнить о нём я буду"
43,"Шум в голове заполнит грудь, меня несёт"
44,Покажи смекалку — выбей глаз у кореша
44,"Мы ходим под Богом, но нам не дают дышать"
44,"Выпей со мной что-нибудь, что пьётся, — в этом шарм"
44,"Выкопай мне яму, но не упади сам"
44,Над нами кто-то есть и помимо Христа
44,"Нас били, но нам не хватит"
44,"Но буду давить, идти и за то"
44,Родись в России — это азарт
44,И даже нытик в силах раздать
44,Где псина — это твой лучший друг
44,"В колхоз не хочешь, видит Элаг"
44,Зато мы верим в наши войска
44,Ведь за спиною брата не страшно
44,А я иду с разбитым лбом
44,Знаю ли его или соседу помогу
44,Замер или умер тихий житель СПБ
44,"Знал бы ты, сосед, тебя покажут по ТВ"
44,"Я видел его в лифте, когда было мало лет"
44,Я будто вырос с дядей этим на одном корму
44,"Интересно знал ли дядя, что его найдут"
44,Под прицелом огнестрела не ведут войну
44,Невидаль и падаль за отечество солгут
44,"Сосед соседа сдаст, соседи деда продадут"
44,"Может быть, сосед не вёл соседскую игру"
44,"Может, ради помощь за стенку заберусь"
45,"С теми, кто уже не верит"
45,На кой черт мне держать за руку
45,"Ту, что заведомо видит ложь лишь"
45,И в каждый шаг наперёд вникая
45,А бежал я будто по кругу
45,Я мешал её шмотки с пылью
45,Что вот-вот как в слоумо летали
45,"Я же знал, обрекая на крах себя"
45,"И когда на тебе не сто, а тысячи глаз"
45,"Алые глаза, и их кто-то полюбил"
45,"Не ответить за базар и всю херню, что я вершил"
